,TEAM,Season,LC3_FGA,LC3_FGM,RC3_FGA,RC3_FGM,OUTCOME
0,TOR,2015-16,95,29,77,36,L
1,ATL,2015-16,118,39,133,47,L
2,BOS,2015-16,117,47,110,27,L
3,CLE,2015-16,93,32,97,28,L
4,NOP,2015-16,151,44,141,39,L
5,CHI,2015-16,113,37,98,38,L
6,DAL,2015-16,154,51,98,40,L
7,DEN,2015-16,145,42,108,35,L
8,GSW,2015-16,37,10,26,8,L
9,HOU,2015-16,176,63,230,69,L
10,LAC,2015-16,109,36,97,40,L
11,LAL,2015-16,179,59,145,47,L
12,MIA,2015-16,117,31,128,42,L
13,MIL,2015-16,110,37,116,36,L
14,MIN,2015-16,111,40,61,22,L
15,BKN,2015-16,183,59,165,63,L
16,NYK,2015-16,140,54,126,46,L
17,ORL,2015-16,145,47,133,50,L
18,IND,2015-16,159,48,100,43,L
19,PHI,2015-16,238,90,246,88,L
20,PHX,2015-16,178,59,185,71,L
21,POR,2015-16,144,56,106,39,L
22,SAC,2015-16,114,52,136,56,L
23,SAS,2015-16,37,14,26,6,L
24,OKC,2015-16,79,23,87,32,L
25,UTA,2015-16,159,55,158,53,L
26,MEM,2015-16,99,28,96,27,L
27,WAS,2015-16,127,35,111,45,L
28,DET,2015-16,124,41,129,44,L
29,CHA,2015-16,110,36,72,25,L
0,TOR,2016-17,122,36,83,25,L
1,ATL,2016-17,116,31,131,55,L
2,BOS,2016-17,104,41,111,45,L
3,CLE,2016-17,142,51,151,51,L
4,NOP,2016-17,155,58,122,45,L
5,CHI,2016-17,144,59,126,45,L
6,DAL,2016-17,146,54,151,54,L
7,DEN,2016-17,152,49,106,40,L
8,GSW,2016-17,47,15,44,11,L
9,HOU,2016-17,94,27,115,38,L
10,LAC,2016-17,79,29,98,36,L
11,LAL,2016-17,182,64,160,58,L
12,MIA,2016-17,169,64,169,65,L
13,MIL,2016-17,127,52,139,53,L
14,MIN,2016-17,156,53,120,40,L
15,BKN,2016-17,246,81,217,90,L
16,NYK,2016-17,157,65,133,57,L
17,ORL,2016-17,142,41,122,38,L
18,IND,2016-17,139,48,101,38,L
19,PHI,2016-17,143,57,123,44,L
20,PHX,2016-17,177,54,182,59,L
21,POR,2016-17,104,35,109,42,L
22,SAC,2016-17,140,51,134,56,L
23,SAS,2016-17,77,34,82,32,L
24,OKC,2016-17,111,38,135,51,L
25,UTA,2016-17,121,40,102,31,L
26,MEM,2016-17,99,39,95,37,L
27,WAS,2016-17,101,33,102,28,L
28,DET,2016-17,105,35,99,27,L
29,CHA,2016-17,112,40,83,31,L
0,TOR,2017-18,87,34,71,32,L
1,ATL,2017-18,243,101,223,98,L
2,BOS,2017-18,98,33,92,38,L
3,CLE,2017-18,136,44,120,38,L
4,NOP,2017-18,124,46,110,41,L
5,CHI,2017-18,171,64,170,62,L
6,DAL,2017-18,178,65,157,71,L
7,DEN,2017-18,93,35,90,41,L
8,GSW,2017-18,51,16,39,19,L
9,HOU,2017-18,69,27,94,23,L
10,LAC,2017-18,147,49,100,29,L
11,LAL,2017-18,123,41,95,36,L
12,MIA,2017-18,140,51,160,66,L
13,MIL,2017-18,118,44,155,64,L
14,MIN,2017-18,101,32,59,23,L
15,BKN,2017-18,208,76,181,61,L
16,NYK,2017-18,150,61,101,35,L
17,ORL,2017-18,181,68,115,39,L
18,IND,2017-18,101,33,80,38,L
19,PHI,2017-18,64,20,72,34,L
20,PHX,2017-18,200,79,164,48,L
21,POR,2017-18,83,27,79,33,L
22,SAC,2017-18,161,65,121,52,L
23,SAS,2017-18,99,31,91,34,L
24,OKC,2017-18,116,43,119,42,L
25,UTA,2017-18,149,52,127,45,L
26,MEM,2017-18,164,53,132,45,L
27,WAS,2017-18,100,35,99,36,L
28,DET,2017-18,144,53,152,60,L
29,CHA,2017-18,108,39,81,24,L
