,TEAM,Season,LC3_FGA,LC3_FGM,RC3_FGA,RC3_FGM,OUTCOME
0,TOR,2015-16,243,103,163,68,W
1,ATL,2015-16,153,56,174,68,W
2,BOS,2015-16,137,49,145,55,W
3,CLE,2015-16,220,90,252,111,W
4,NOP,2015-16,83,35,82,33,W
5,CHI,2015-16,102,39,88,46,W
6,DAL,2015-16,160,61,107,49,W
7,DEN,2015-16,97,45,74,23,W
8,GSW,2015-16,275,117,272,117,W
9,HOU,2015-16,178,72,215,81,W
10,LAC,2015-16,173,78,149,67,W
11,LAL,2015-16,43,13,36,11,W
12,MIA,2015-16,165,59,159,71,W
13,MIL,2015-16,86,32,68,29,W
14,MIN,2015-16,64,27,49,20,W
15,BKN,2015-16,61,32,63,29,W
16,NYK,2015-16,94,47,59,24,W
17,ORL,2015-16,101,40,73,29,W
18,IND,2015-16,156,72,125,50,W
19,PHI,2015-16,36,14,28,11,W
20,PHX,2015-16,68,25,62,24,W
21,POR,2015-16,172,76,151,54,W
22,SAC,2015-16,73,36,111,38,W
23,SAS,2015-16,177,63,203,85,W
24,OKC,2015-16,214,83,204,70,W
25,UTA,2015-16,146,72,169,71,W
26,MEM,2015-16,122,48,106,33,W
27,WAS,2015-16,126,49,149,67,W
28,DET,2015-16,156,51,162,74,W
29,CHA,2015-16,122,61,121,53,W
0,TOR,2016-17,199,80,159,73,W
1,ATL,2016-17,123,52,142,58,W
2,BOS,2016-17,195,75,210,90,W
3,CLE,2016-17,297,141,254,108,W
4,NOP,2016-17,117,48,102,36,W
5,CHI,2016-17,146,71,126,46,W
6,DAL,2016-17,96,37,111,42,W
7,DEN,2016-17,117,46,89,41,W
8,GSW,2016-17,211,96,245,103,W
9,HOU,2016-17,217,90,257,109,W
10,LAC,2016-17,167,78,137,56,W
11,LAL,2016-17,71,31,73,29,W
12,MIA,2016-17,166,78,179,68,W
13,MIL,2016-17,144,46,158,69,W
14,MIN,2016-17,114,51,79,38,W
15,BKN,2016-17,54,21,57,24,W
16,NYK,2016-17,97,41,90,39,W
17,ORL,2016-17,76,22,69,22,W
18,IND,2016-17,153,66,113,53,W
19,PHI,2016-17,77,39,63,25,W
20,PHX,2016-17,91,34,65,21,W
21,POR,2016-17,128,45,125,53,W
22,SAC,2016-17,102,44,103,47,W
23,SAS,2016-17,182,82,199,84,W
24,OKC,2016-17,142,54,160,47,W
25,UTA,2016-17,194,81,194,82,W
26,MEM,2016-17,119,53,119,46,W
27,WAS,2016-17,154,53,171,70,W
28,DET,2016-17,101,46,87,41,W
29,CHA,2016-17,72,27,59,24,W
0,TOR,2017-18,306,110,226,95,W
1,ATL,2017-18,113,40,81,42,W
2,BOS,2017-18,181,86,183,71,W
3,CLE,2017-18,221,103,222,103,W
4,NOP,2017-18,181,74,161,68,W
5,CHI,2017-18,82,32,67,26,W
6,DAL,2017-18,87,39,47,22,W
7,DEN,2017-18,133,54,130,59,W
8,GSW,2017-18,171,71,136,53,W
9,HOU,2017-18,316,129,339,145,W
10,LAC,2017-18,143,48,113,46,W
11,LAL,2017-18,99,44,93,40,W
12,MIA,2017-18,160,58,209,83,W
13,MIL,2017-18,126,52,147,62,W
14,MIN,2017-18,175,74,106,46,W
15,BKN,2017-18,117,42,120,52,W
16,NYK,2017-18,89,42,51,21,W
17,ORL,2017-18,97,38,58,19,W
18,IND,2017-18,141,58,136,66,W
19,PHI,2017-18,116,42,139,58,W
20,PHX,2017-18,74,27,66,28,W
21,POR,2017-18,139,56,123,47,W
22,SAC,2017-18,83,28,58,29,W
23,SAS,2017-18,143,65,142,61,W
24,OKC,2017-18,167,62,213,82,W
25,UTA,2017-18,217,100,199,92,W
26,MEM,2017-18,66,26,65,26,W
27,WAS,2017-18,114,40,123,55,W
28,DET,2017-18,122,47,148,63,W
29,CHA,2017-18,83,29,90,40,W
